id,rol,victima_x,sexo,edad,fecha_fallecimiento,categoria_edad,n_victimas,fecha,anio,mes,dia,nombre_dia,laboral,hora_exacta,hora,categoria_hora,tipo_calle,calle,cruce,direccion_norm,comuna,latitud,longitud,participantes,victima_y,acusado
2016-0001,CONDUCTOR,MOTO,MASCULINO,19.0,2016-01-01,entre_0_y_20,1,2016-01-01,2016,1,1,viernes,Laboral,04:00:00,4,noche,AVENIDA,PIEDRA BUENA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.","PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-34.68757022,-58.47533969,MOTO-AUTO,MOTO,AUTO
2016-0002,CONDUCTOR,AUTO,MASCULINO,70.0,2016-01-02,entre_60_y_80,1,2016-01-02,2016,1,2,sábado,No Laboral,01:15:00,1,noche,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-34.66977709,-58.50877521,AUTO-PASAJEROS,AUTO,PASAJEROS
2016-0003,CONDUCTOR,MOTO,MASCULINO,30.0,2016-01-03,entre_20_y_40,1,2016-01-03,2016,1,3,domingo,No Laboral,07:00:00,7,mañana,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 2034,1,-34.63189362,-58.39040293,MOTO-AUTO,MOTO,AUTO
2016-0004,CONDUCTOR,MOTO,MASCULINO,18.0,,entre_0_y_20,1,2016-01-10,2016,1,10,domingo,No Laboral,00:00:00,0,noche,AVENIDA,LARRAZABAL AV.,"VILLEGAS, CONRADO, GRAL.","LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-34.68092974,-58.46503904,MOTO-SD,MOTO,SD
2016-0005,CONDUCTOR,MOTO,MASCULINO,29.0,2016-02-01,entre_20_y_40,1,2016-01-21,2016,1,21,jueves,Laboral,05:20:00,5,noche,AVENIDA,SAN JUAN AV.,"SAENZ PE?A, LUIS, PRES.","SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-34.62246630,-58.38718297,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0008,CONDUCTOR,MOTO,MASCULINO,30.0,2016-01-24,entre_20_y_40,1,2016-01-24,2016,1,24,domingo,No Laboral,18:30:00,18,tarde-noche,AVENIDA,27 DE FEBRERO AV.,ESCALADA AV.,27 DE FEBRERO AV. y ESCALADA AV.,8,-34.68475866,-58.44451316,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0009,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29.0,2016-01-26,entre_20_y_40,1,2016-01-24,2016,1,24,domingo,No Laboral,19:10:00,19,tarde-noche,CALLE,NOGOYA,"GONZALEZ, JOAQUIN V.","NOGOYA y GONZALEZ, JOAQUIN V.",11,-34.60825440,-58.50095869,MOTO-AUTO,MOTO,AUTO
2016-0010,CONDUCTOR,MOTO,MASCULINO,18.0,2016-01-29,entre_0_y_20,1,2016-01-29,2016,1,29,viernes,Laboral,15:20:00,15,tarde,GRAL PAZ,"PAZ, GRAL. AV.",DE LOS CORRALES AV.,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-34.66977709,-58.50877521,MOTO-AUTO,MOTO,AUTO
2016-0012,CONDUCTOR,MOTO,MASCULINO,22.0,2016-02-08,entre_20_y_40,1,2016-02-08,2016,2,8,lunes,Laboral,01:20:00,1,noche,AVENIDA,BELGRANO AV.,"IRIGOYEN, BERNARDO DE","BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-34.61303893,-58.38048577,MOTO-CARGAS,MOTO,CARGAS
2016-0013,PEATON,PEATON,MASCULINO,16.0,2016-02-10,entre_0_y_20,1,2016-02-10,2016,2,10,miércoles,Laboral,11:30:00,11,mañana,AVENIDA,ENTRE RIOS AV.,,ENTRE RIOS AV. 1366,1,-34.62477387,-58.39114932,PEATON-AUTO,PEATON,AUTO
2016-0015,PEATON,PEATON,FEMENINO,16.0,2016-02-14,entre_0_y_20,1,2016-02-14,2016,2,14,domingo,No Laboral,05:14:00,5,noche,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-34.59912758,-58.43760020,PEATON-AUTO,PEATON,AUTO
2016-0016,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19.0,2016-02-14,entre_0_y_20,1,2016-02-14,2016,2,14,domingo,No Laboral,22:00:00,22,tarde-noche,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-34.64291993,-58.36882665,MOTO-AUTO,MOTO,AUTO
2016-0017,PEATON,PEATON,MASCULINO,59.0,2016-02-16,entre_40_y_60,1,2016-02-15,2016,2,15,lunes,Laboral,16:54:00,16,tarde,AVENIDA,"ACOSTA, MARIANO","JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8,-34.65970435,-58.44989671,PEATON-MOTO,PEATON,MOTO
2016-0019,PEATON,PEATON,FEMENINO,65.0,2016-02-17,entre_60_y_80,1,2016-02-17,2016,2,17,miércoles,Laboral,09:30:00,9,mañana,CALLE,"DE LA TORRE, LISANDRO","GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-34.65468721,-58.50990884,PEATON-PASAJEROS,PEATON,PASAJEROS
