id,rol,victima,sexo,edad,fecha_fallecimiento,categoria_edad
2016-0001,CONDUCTOR,MOTO,MASCULINO,19.0,2016-01-01,entre_0_y_20
2016-0002,CONDUCTOR,AUTO,MASCULINO,70.0,2016-01-02,entre_60_y_80
2016-0003,CONDUCTOR,MOTO,MASCULINO,30.0,2016-01-03,entre_20_y_40
2016-0004,CONDUCTOR,MOTO,MASCULINO,18.0,,entre_0_y_20
2016-0005,CONDUCTOR,MOTO,MASCULINO,29.0,2016-02-01,entre_20_y_40
2016-0008,CONDUCTOR,MOTO,MASCULINO,30.0,2016-01-24,entre_20_y_40
2016-0009,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29.0,2016-01-26,entre_20_y_40
2016-0010,CONDUCTOR,MOTO,MASCULINO,18.0,2016-01-29,entre_0_y_20
2016-0012,CONDUCTOR,MOTO,MASCULINO,22.0,2016-02-08,entre_20_y_40
2016-0013,PEATON,PEATON,MASCULINO,16.0,2016-02-10,entre_0_y_20
2016-0015,PEATON,PEATON,FEMENINO,16.0,2016-02-14,entre_0_y_20
2016-0016,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19.0,2016-02-14,entre_0_y_20
2016-0017,PEATON,PEATON,MASCULINO,59.0,2016-02-16,entre_40_y_60
2016-0019,PEATON,PEATON,FEMENINO,65.0,2016-02-17,entre_60_y_80
2016-0020,PEATON,PEATON,MASCULINO,59.0,2016-03-02,entre_40_y_60
2016-0021,CONDUCTOR,AUTO,MASCULINO,34.0,2016-02-17,entre_20_y_40
2016-0022,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41.0,,entre_40_y_60
2016-0025,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,2016-02-28,entre_20_y_40
2016-0026,CONDUCTOR,AUTO,MASCULINO,30.0,2016-03-04,entre_20_y_40
2016-0027,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34.0,,entre_20_y_40
2016-0028,PEATON,PEATON,MASCULINO,50.0,2016-03-02,entre_40_y_60
2016-0029,PEATON,PEATON,MASCULINO,38.0,2016-03-04,entre_20_y_40
2016-0031,CONDUCTOR,MOTO,MASCULINO,21.0,,entre_20_y_40
2016-0034,PEATON,PEATON,MASCULINO,52.0,2016-03-12,entre_40_y_60
2016-0035,CONDUCTOR,MOTO,MASCULINO,34.0,2016-03-13,entre_20_y_40
2016-0036,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36.0,2016-03-14,entre_20_y_40
2016-0037,CONDUCTOR,MOTO,MASCULINO,20.0,2016-03-19,entre_20_y_40
2016-0038,PEATON,PEATON,MASCULINO,29.0,2016-03-21,entre_20_y_40
2016-0039,CONDUCTOR,MOTO,MASCULINO,20.0,2016-03-23,entre_20_y_40
2016-0041,CONDUCTOR,MOTO,MASCULINO,54.0,2016-03-29,entre_40_y_60
2016-0041,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,0.0,2016-03-30,edad_desconocida
2016-0043,PEATON,PEATON,FEMENINO,56.0,2016-03-30,entre_40_y_60
2016-0044,CONDUCTOR,MOTO,MASCULINO,24.0,2016-03-31,entre_20_y_40
2016-0045,CONDUCTOR,MOTO,MASCULINO,0.0,,edad_desconocida
2016-0047,PEATON,PEATON,MASCULINO,41.0,2016-04-15,entre_40_y_60
2016-0048,PEATON,PEATON,FEMENINO,0.0,,edad_desconocida
2016-0049,SD,SD,SD,0.0,,edad_desconocida
2016-0050,PEATON,PEATON,MASCULINO,78.0,2016-04-19,entre_60_y_80
2016-0051,CONDUCTOR,MOTO,MASCULINO,36.0,2016-04-20,entre_20_y_40
2016-0052,SD,MOTO,SD,0.0,,edad_desconocida
2016-0053,PEATON,PEATON,MASCULINO,38.0,2016-04-22,entre_20_y_40
2016-0054,CONDUCTOR,MOTO,MASCULINO,30.0,2016-04-25,entre_20_y_40
2016-0055,PEATON,PEATON,MASCULINO,79.0,2016-04-28,entre_60_y_80
2016-0056,CONDUCTOR,MOTO,MASCULINO,26.0,2016-04-26,entre_20_y_40
2016-0058,PEATON,PEATON,FEMENINO,57.0,2016-05-08,entre_40_y_60
2016-0059,PEATON,PEATON,MASCULINO,37.0,2016-05-26,entre_20_y_40
2016-0064,PEATON,PEATON,MASCULINO,20.0,,entre_20_y_40
2016-0065,PEATON,PEATON,MASCULINO,20.0,2016-05-20,entre_20_y_40
2016-0067,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30.0,,entre_20_y_40
2016-0068,CONDUCTOR,MOTO,MASCULINO,58.0,,entre_40_y_60
2016-0069,CONDUCTOR,AUTO,MASCULINO,30.0,2016-05-23,entre_20_y_40
2016-0073,CONDUCTOR,MOTO,MASCULINO,23.0,,entre_20_y_40
2016-0074,CONDUCTOR,AUTO,MASCULINO,60.0,,entre_60_y_80
2016-0075,PEATON,PEATON,MASCULINO,42.0,2016-06-12,entre_40_y_60
2016-0076,PEATON,PEATON,FEMENINO,53.0,2016-06-13,entre_40_y_60
2016-0077,PEATON,PEATON,FEMENINO,0.0,,edad_desconocida
